"name","type","degree_length","room_and_board","in_state_tuition","out_of_state_tuition","early_career_pay","mid_career_pay","stem_percent","total_minority_percentage"
"Claremont McKenna College","Private","4 Year",16705,54405,54405,68500,125400,16,34.21
"DePaul University","Private","4 Year",14235,39975,39975,55700,102900,15,34.20
"University of Southern Mississippi","Public","4 Year",9857,8734,10734,45100,83900,11,34.07
"Oral Roberts University","Private","4 Year",9450,27728,27728,45900,85100,8,34.04
"Oklahoma Panhandle State University","Public","4 Year",4695,8194,9133,42300,74400,10,33.90
"Emory University","Private","4 Year",14456,51306,51306,62000,110800,20,33.86
"Kennesaw State University","Public","4 Year",11467,7432,21158,52500,94600,22,33.78
"Northern Illinois University","Public","4 Year",10880,12262,12262,53000,95500,20,33.77
"Barton College","Private","4 Year",10120,30880,30880,42400,77900,6,33.72
"University of Arkansas at Monticello","Public","4 Year",6824,7696,13546,43500,78300,2,33.68
"Trinity University","Private","4 Year",13464,42976,42976,54900,102900,27,33.35
"University of Dallas","Private","4 Year",12400,40652,40652,53000,96400,16,33.28
"Charter Oak State College","Public","4 Year",0,10161,13101,49200,85900,2,33.23
"Pacific University","Private","4 Year",12528,44298,44298,50200,94000,8,32.97
"University of Florida","Public","4 Year",10120,6381,28658,55800,102800,29,32.88
"William Carey University","Private","4 Year",6810,12600,12600,41100,71800,6,32.80
"Seattle University","Private","4 Year",12288,44610,44610,60600,113700,12,32.71
"Southern Wesleyan University","Private","4 Year",9030,25476,25476,42900,74600,5,32.68
"Massachusetts Institute of Technology","Private","4 Year",15510,51832,51832,86300,155200,69,32.66
"Princeton University","Private","4 Year",16290,49330,49330,75200,139400,48,32.46
"Cornell University","Private","4 Year",14816,55188,55188,70100,128200,43,32.40
"Henderson State University","Public","4 Year",7504,8436,10086,42900,79800,5,32.40
"Northern Arizona University","Public","4 Year",10282,11564,25828,49600,90000,12,32.34
"Brown University","Private","4 Year",14670,55656,55656,68200,127600,43,32.22
