"name","type","state_code","degree_length","room_and_board","in_state_tuition","out_of_state_tuition","total_minority_percentage"
"Massachusetts Institute of Technology","Private","MA","4 Year",15510,51832,51832,32.66
"York College","Private","NE","4 Year",7220,19310,19310,32.6
"Averett University","Private","VA","4 Year",9976,34400,34400,32.57
"Eastern Gateway Community College","Public","OH","2 Year",0,4040,7280,32.5
"California College of the Arts","Private","CA","4 Year",10136,49138,49138,32.48
"Princeton University","Private","NJ","4 Year",16290,49330,49330,32.46
"Eastern Arizona College","Public","AZ","2 Year",6790,2700,8700,32.45
"Cornell University","Private","NY","4 Year",14816,55188,55188,32.4
"Henderson State University","Public","AR","4 Year",7504,8436,10086,32.4
"Ohio Christian University","Private","OH","4 Year",8076,23306,23306,32.38
"Hill College","Public","TX","2 Year",3850,2970,4120,32.36
"Northern Arizona University","Public","AZ","4 Year",10282,11564,25828,32.34
"Brown University","Private","RI","4 Year",14670,55656,55656,32.22
"Germanna Community College","Public","VA","2 Year",0,4913,10841,32.19
"University of Alabama at Birmingham","Public","AL","4 Year",6400,10710,24630,32.05
"Patrick Henry Community College","Public","VA","2 Year",0,4730,10658,32.04
"University of North Carolina at Charlotte","Public","NC","4 Year",11100,7044,20478,32.01
"Grace Bible College","Private","MI","4 Year",7700,19950,19950,32.0
"Touro University Worldwide","Private","CA","4 Year",0,14400,14400,31.98
"Southern Arkansas University","Public","AR","4 Year",6240,8676,12786,31.95
"Edmonds Community College","Public","WA","2 Year",7400,4471,4471,31.94
"Methodist University","Private","NC","4 Year",12890,33846,33846,31.9
"Marymount Manhattan College","Private","NY","4 Year",16832,33778,33778,31.86
"Pfeiffer University","Private","NC","4 Year",11226,30234,30234,31.84
"Wichita Area Technical College","Public","KS","2 Year",0,3210,3630,31.78
"Austin Peay State University","Public","TN","4 Year",10700,8411,24467,31.72
"Lawrence Technological University","Private","MI","4 Year",9950,33570,33570,31.71
"Texas Tech University","Public","TX","4 Year",9530,11045,23495,31.69
"Central Christian College of Kansas","Private","KS","4 Year",8286,26674,26674,31.67
"Wayne State University","Public","MI","4 Year",10427,13347,28241,31.64
"Mid-Atlantic Christian University","Private","NC","4 Year",8600,14400,14400,31.63
"Harvard University","Private","MA","4 Year",17160,50420,50420,31.62
"Arizona Christian University","Private","AZ","4 Year",10674,26796,26796,31.61
"Butte College","Public","CA","2 Year",0,1498,8518,31.59
"Montgomery Community College","Public","NC","2 Year",0,2385,8145,31.52
"University of Pennsylvania","Private","PA","4 Year",15616,55584,55584,31.46
"Calhoun Community College","Public","AL","2 Year",0,4840,8690,31.42
"Arizona State University","Public","AZ","4 Year",12648,10822,28336,31.29
"Rio Salado College","Public","AZ","2 Year",7584,1898,6222,31.26
"Lamar Community College","Public","CO","2 Year",6588,3950,6332,31.23
"Western Connecticut State University","Public","CT","4 Year",13072,10819,22059,31.22
"Aurora University","Private","IL","4 Year",11700,24260,24260,31.2
"Life University","Private","GA","4 Year",14400,13194,13194,31.19
"Black Hawk College","Public","IL","2 Year",0,4470,7650,31.16
"New York University","Private","NY","4 Year",18156,51828,51828,31.14
"Moore College of Art and Design","Private","PA","4 Year",15564,41728,41728,31.13
"University of Central Oklahoma","Public","OK","4 Year",7970,7488,18376,31.13
"St. Petersburg College","Public","FL","2 Year",0,3443,11697,31.09
"Louisiana State University at Eunice","Public","LA","2 Year",5214,6500,11864,31.08
"Benedictine University","Private","IL","4 Year",9480,34290,34290,31.03
"College of Central Florida","Public","FL","2 Year",0,3213,12656,31.03
"Loyola University Chicago","Private","IL","4 Year",14480,44048,44048,31.01
"Columbus State Community College","Public","OH","2 Year",0,4638,9591,30.94
"Wor-Wic Community College","Public","MD","2 Year",0,4050,9630,30.93
"Iona College","Private","NY","4 Year",15278,38812,38812,30.88
"Franklin University","Private","OH","4 Year",0,15805,15805,30.86
"Pikes Peak Community College","Public","CO","2 Year",0,4812,18672,30.84
"Johns Hopkins University","Private","MD","4 Year",15836,54240,54240,30.83
"Medaille College","Private","NY","4 Year",13500,29500,29500,30.82
"Tunxis Community College","Public","CT","2 Year",0,4404,13172,30.79
"Yale University","Private","CT","4 Year",16000,53430,53430,30.77
"Washtenaw Community College","Public","MI","2 Year",0,3150,6900,30.75
"Hofstra University","Private","NY","4 Year",15948,46760,46760,30.7
"Baylor University","Private","TX","4 Year",12595,45727,45727,30.65
"Frederick Community College","Public","MD","2 Year",0,4457,11627,30.64
"Thomas University","Private","GA","4 Year",4800,16940,16940,30.58
"Anne Arundel Community College","Public","MD","2 Year",0,4110,12180,30.51
"Georgia Highlands College","Public","GA","2 Year",0,3844,11590,30.49
"Johnston Community College","Public","NC","2 Year",0,2497,8257,30.49
"Regis College","Private","MA","4 Year",15180,41015,41015,30.49
"Ranger College","Public","TX","2 Year",4231,3065,5765,30.48
"Bowdoin College","Private","ME","4 Year",14698,53922,53922,30.47
"Inver Hills Community College","Public","MN","2 Year",0,5332,5332,30.46
"Chemeketa Community College","Public","OR","2 Year",0,4725,12960,30.43
"Dartmouth College","Private","NH","4 Year",15756,55453,55453,30.42
"University of Portland","Private","OR","4 Year",13450,45904,45904,30.41
"Smith College","Private","MA","4 Year",17520,52404,52404,30.38
"Lackawanna College","Private","PA","2 Year",10300,15450,15450,30.34
"Lake Forest College","Private","IL","4 Year",10390,47064,47064,30.32
"Lewis University","Private","IL","4 Year",10578,32450,32450,30.32
"County College of Morris","Public","NJ","2 Year",0,4920,12060,30.29
"John Paul the Great Catholic University","Private","CA","4 Year",7650,26100,26100,30.28
"Lubbock Christian University","Private","TX","4 Year",7702,22440,22440,30.28
"Avila University","Private","MO","4 Year",7200,19900,19900,30.26
"St. Thomas Aquinas College","Private","NY","4 Year",13250,31950,31950,30.23
"Florida Gulf Coast University","Public","FL","4 Year",10156,6118,25162,30.16
"Pensacola State College","Public","FL","2 Year",0,3137,12593,30.15
"Scottsdale Community College","Public","AZ","2 Year",0,2580,12330,30.12
"Knox College","Private","IL","4 Year",9870,46554,46554,30.09
"Southern Nazarene University","Private","OK","4 Year",8496,25188,25188,30.08
"Westmont College","Private","CA","4 Year",14296,45304,45304,30.08
"Jefferson State Community College","Public","AL","2 Year",0,4800,8370,30.05
"Thaddeus Stevens College of Technology","Public","PA","2 Year",8330,8030,8030,30.01
"Saint Martin's University","Private","WA","4 Year",11445,37356,37356,29.98
"Barton County Community College","Public","KS","2 Year",5794,3440,3440,29.97
"Temple University","Public","PA","4 Year",11916,16970,29066,29.94
"Mississippi College","Private","MS","4 Year",10300,18026,18026,29.88
"Thomas Edison State University","Public","NJ","4 Year",0,7519,9967,29.88
"Garrett College","Public","MD","2 Year",8275,4380,9870,29.87
"Portland Community College","Public","OR","2 Year",0,5408,11483,29.85
"Design Institute of San Diego","For Profit","CA","4 Year",0,23860,23860,29.82
"Georgia Institute of Technology","Public","GA","4 Year",11884,12424,33020,29.81
"Daytona State College","Public","FL","2 Year",0,3109,11998,29.8
"Pearl River Community College","Public","MS","2 Year",4900,3500,5898,29.79
"Shoreline Community College","Public","WA","2 Year",10260,4730,7268,29.73
"Rush University","Private","IL","4 Year",0,24900,24900,29.71
"Florida State University","Public","FL","4 Year",10816,6516,21683,29.69
"College of the Siskiyous","Public","CA","2 Year",8000,1430,9170,29.66
"Linfield College","Private","OR","4 Year",12420,43232,43232,29.65
"University of South Alabama","Public","AL","4 Year",7620,9870,19740,29.64
"University of Louisiana at Monroe","Public","LA","4 Year",7850,8734,20834,29.56
"University of Mobile","Private","AL","4 Year",9600,22820,22820,29.56
"Towson University","Public","MD","4 Year",13034,9940,23208,29.5
"Duke University","Private","NC","4 Year",15178,55695,55695,29.49
"Brewton-Parker College","Private","GA","4 Year",7850,18690,18690,29.47
"Shasta Bible College and Graduate School","Private","CA","4 Year",2800,11350,11350,29.41
"Shorter University","Private","GA","4 Year",9400,22370,22370,29.37
"Alaska Pacific University","Private","AK","4 Year",7300,20830,20830,29.36
"Seattle Pacific University","Private","WA","4 Year",11796,42939,42939,29.36
"Northwestern University","Private","IL","4 Year",16626,54567,54567,29.33
"Southern Connecticut State University","Public","CT","4 Year",12860,10875,22115,29.33
"Albright College","Private","PA","4 Year",12070,45306,45306,29.29
"Blue Mountain Community College","Public","OR","2 Year",0,6188,15908,29.29
"Restaurant School at Walnut Hill College","For Profit","PA","4 Year",7200,13580,13580,29.29
"Middle Tennessee State University","Public","TN","4 Year",9436,9206,28364,29.27
"Fordham University","Private","NY","4 Year",17969,52687,52687,29.25
"Rhode Island School of Design","Private","RI","4 Year",13400,50960,50960,29.24
"MCPHS University","Private","MA","4 Year",16400,32705,32705,29.16
"Coleman University","Private","CA","4 Year",0,20725,20725,29.15
"Drew University","Private","NJ","4 Year",14108,39500,39500,29.15
"Horry-Georgetown Technical College","Public","SC","2 Year",0,5248,10408,29.15
"Bluefield College","Private","VA","4 Year",9024,25290,25290,29.13
"Pratt Institute","Private","NY","4 Year",12622,51870,51870,29.1
"Maryland Institute College of Art","Private","MD","4 Year",13280,48630,48630,29.09
"Our Lady of the Lake College","Private","LA","4 Year",0,16484,16484,29.04
"Athens Technical College","Public","GA","2 Year",0,3292,5962,29.01
"Treasure Valley Community College","Public","OR","2 Year",7283,5445,5895,29.01
"Salem Community College","Public","NJ","2 Year",0,5070,6600,28.99
"Schenectady County Community College","Public","NY","2 Year",0,4948,9124,28.97
"ETI Technical College of Niles","For Profit","OH","2 Year",0,10653,10653,28.95
"Walla Walla Community College","Public","WA","2 Year",0,5041,6319,28.94
"Haverford College","Private","PA","4 Year",16402,54592,54592,28.89
"Regis University","Private","CO","4 Year",11560,36810,36810,28.81
"University of the Arts","Private","PA","4 Year",16322,44780,44780,28.78
"Nicholls State University","Public","LA","4 Year",9938,7982,9075,28.7
"Rock Valley College","Public","IL","2 Year",0,3764,15224,28.69
"Ecclesia College","Private","AR","4 Year",5810,15140,15140,28.66
"Columbia University","Private","NY","4 Year",14016,59985,59985,28.65
"University of Science and Arts of Oklahoma","Public","OK","4 Year",6350,7215,17565,28.65
"Davidson County Community College","Public","NC","2 Year",0,2435,8195,28.64
"LaGrange College","Private","GA","4 Year",11630,30470,30470,28.63
"Jamestown Business College","For Profit","NY","2 Year",0,12600,12600,28.62
"Providence Christian College","Private","CA","4 Year",9694,29372,29372,28.57
"Southeastern Baptist College","Private","MS","4 Year",1700,6550,6550,28.57
"Cornish College of the Arts","Private","WA","4 Year",12400,41642,41642,28.55
"Culinary Institute of America","Private","NY","4 Year",11560,32720,32720,28.55
"William Jessup University","Private","CA","4 Year",11320,32950,32950,28.55
"Western Illinois University","Public","IL","4 Year",9630,11267,11267,28.48
"Brookdale Community College","Public","NJ","2 Year",0,5216,9281,28.47
"Art Institute of Pittsburgh","For Profit","PA","4 Year",2758,23376,23376,28.44
"Midstate College","For Profit","IL","4 Year",0,10820,10820,28.41
"Redlands Community College","Public","OK","2 Year",7468,5325,7891,28.41
"University of Illinois at Urbana-Champaign","Public","IL","4 Year",11308,15094,31664,28.41
"Montreat College","Private","NC","4 Year",9149,26670,26670,28.4
"University of West Florida","Public","FL","4 Year",9942,6360,18628,28.38
"Cairn University","Private","PA","4 Year",10294,27279,27279,28.36
"Bryn Mawr College","Private","PA","4 Year",16500,52360,52360,28.32
"Catawba College","Private","NC","4 Year",10488,30520,30520,28.31
"Cleveland Community College","Public","NC","2 Year",0,2372,8132,28.29
"University of North Florida","Public","FL","4 Year",9976,6394,20112,28.27
"Louisiana College","Private","LA","4 Year",5618,17000,17000,28.26
"Ringling College of Art and Design","Private","FL","4 Year",15070,46420,46420,28.22
"Mohave Community College","Public","AZ","2 Year",0,2640,8715,28.18
"Mt. Hood Community College","Public","OR","2 Year",0,5407,10312,28.18
"Rappahannock Community College","Public","VA","2 Year",0,5075,10373,28.16
"Berea College","Private","KY","4 Year",6764,39990,39990,28.13
"Tarleton State University","Public","TX","4 Year",11800,9077,21412,28.11
"Belmont Abbey College","Private","NC","4 Year",10355,18500,18500,28.08
"Drexel University","Private","PA","4 Year",14079,53279,53279,28.08
"Lurleen B. Wallace Community College","Public","AL","2 Year",0,4740,8610,28.08
"Grayson College","Public","TX","2 Year",5700,3600,6120,28.02
"Salem International University","For Profit","WV","4 Year",7480,12920,12920,27.99
"Centenary College of Louisiana","Private","LA","4 Year",13400,36580,36580,27.95
"Coastal Carolina University","Public","SC","4 Year",9190,11536,26648,27.94
"University of North Carolina at Chapel Hill","Public","NC","4 Year",11190,8987,35170,27.93
"McPherson College","Private","KS","4 Year",8788,28951,28951,27.92
"Clarendon College","Public","TX","2 Year",4176,5250,7560,27.83
"Coastal Pines Technical College","Public","GA","2 Year",0,3248,5918,27.81
"Beacon College","Private","FL","4 Year",11390,39016,39016,27.8
"Eastern Michigan University","Public","MI","4 Year",9854,13959,13959,27.79
"University of Wisconsin-Parkside","Public","WI","4 Year",8026,7529,15518,27.78
"Itawamba Community College","Public","MS","2 Year",3900,3020,5220,27.77
"East Carolina University","Public","NC","4 Year",9606,7188,23465,27.75
"Central Connecticut State University","Public","CT","4 Year",12176,10616,21856,27.72
"Monmouth College","Private","IL","4 Year",8966,37674,37674,27.69
"Montgomery County Community College","Public","PA","2 Year",0,5730,14970,27.68
"College of Coastal Georgia","Public","GA","4 Year",9520,3971,10578,27.63
"San Francisco Art Institute","Private","CA","4 Year",15709,46534,46534,27.61
"William Penn University","Private","IA","4 Year",6952,25600,25600,27.58
"Academy College","For Profit","MN","2 Year",0,17661,17661,27.56
"Dalton State College","Public","GA","4 Year",8950,4246,12668,27.56
"University of Hartford","Private","CT","4 Year",12476,40694,40694,27.52
"Rollins College","Private","FL","4 Year",14735,49760,49760,27.47
"State College of Florida, Manatee-Sarasota","Public","FL","2 Year",0,3074,11596,27.47
"Central Washington University","Public","WA","4 Year",11115,8072,23053,27.45
"Southeastern Louisiana University","Public","LA","4 Year",8420,8165,20643,27.44
"Cleveland State University","Public","OH","4 Year",13560,10625,14992,27.4
"Central Baptist College","Private","AR","4 Year",7500,16200,16200,27.39
"Abilene Christian University","Private","TX","4 Year",10350,34850,34850,27.38
"South Puget Sound Community College","Public","WA","2 Year",0,4182,9613,27.35
"Parkland College","Public","IL","2 Year",0,4920,15870,27.34
"Western Nevada College","Public","NV","2 Year",0,3158,10070,27.33
"Mars Hill University","Private","NC","4 Year",9592,32968,32968,27.32
"Paris Junior College","Public","TX","2 Year",5000,2400,5400,27.31
"Louisiana State University at Alexandria","Public","LA","4 Year",0,6964,14230,27.2
"University of Louisiana at Lafayette","Public","LA","4 Year",8516,10616,24344,27.15
"Piedmont Virginia Community College","Public","VA","2 Year",0,4930,10858,27.13
"Mount Ida College","Private","MA","4 Year",13680,35720,35720,27.12
"Ohio Technical College","For Profit","OH","2 Year",0,28544,28544,27.12
"Willamette University","Private","OR","4 Year",12440,50074,50074,27.05
"Kankakee Community College","Public","IL","2 Year",0,4620,22382,27.03
"Ranken Technical College","Private","MO","2 Year",0,14392,14392,27.01
"Huntingdon College","Private","AL","4 Year",9750,27400,27400,26.98
"Mount Wachusett Community College","Public","MA","2 Year",0,6510,12660,26.98
"Watkins College of Art, Design & Film","Private","TN","4 Year",6750,24450,24450,26.97
"Carnegie Mellon University","Private","PA","4 Year",14418,55465,55465,26.95
"Rider University","Private","NJ","4 Year",14700,41310,41310,26.94
"Campbell University","Private","NC","4 Year",11430,32500,32500,26.93
"Manhattan College","Private","NY","4 Year",16200,43480,43480,26.93
"North Florida Community College","Public","FL","2 Year",0,3179,12095,26.92
"Mount Holyoke College","Private","MA","4 Year",14660,49998,49998,26.87
"California Institute of Integral Studies","Private","CA","4 Year",0,20230,20230,26.86
"Harrisburg Area Community College","Public","PA","2 Year",0,6683,9135,26.82
"Portland State University","Public","OR","4 Year",10428,9105,27060,26.82
"Visible Music College","Private","TN","4 Year",6000,19500,19500,26.79
"Ellsworth Community College","Public","IA","2 Year",5970,5970,7140,26.77
"Elmhurst College","Private","IL","4 Year",10366,37055,37055,26.74
"Southwestern Oklahoma State University","Public","OK","4 Year",5830,7035,13935,26.73
"Dakota College at Bottineau","Public","ND","2 Year",7210,4568,6444,26.69
"Reed College","Private","OR","4 Year",14210,56340,56340,26.69
"Gadsden State Community College","Public","AL","2 Year",3600,4800,8430,26.68
"Jacksonville University","Private","FL","4 Year",14080,36670,36670,26.66
"St. Vincent's College","Private","CT","2 Year",0,18750,18750,26.63
"Great Basin College","Public","NV","4 Year",3366,3128,9542,26.62
"New England College","Private","NH","4 Year",14222,37914,37914,26.59
"Arapahoe Community College","Public","CO","2 Year",0,4811,18671,26.56
"Shasta College","Public","CA","2 Year",0,1418,8438,26.52
"Queens University of Charlotte","Private","NC","4 Year",10860,34684,34684,26.51
"Washington State University","Public","WA","4 Year",11398,11581,26365,26.5
"University of Arkansas at Fort Smith","Public","AR","4 Year",8416,7128,15969,26.49
"Central Alabama Community College","Public","AL","2 Year",0,4740,8610,26.48
"Grays Harbor College","Public","WA","2 Year",0,4620,5043,26.42
"Case Western Reserve University","Private","OH","4 Year",15190,49042,49042,26.35
"Point Park University","Private","PA","4 Year",12200,31450,31450,26.33
"Stetson University","Private","FL","4 Year",13052,46030,46030,26.28
"Great Lakes Christian College","Private","MI","4 Year",8800,17220,17220,26.25
"Juilliard School","Private","NY","4 Year",16950,45360,45360,26.24
"Mitchell Community College","Public","NC","2 Year",0,2348,8108,26.24
"Ramapo College of New Jersey","Public","NJ","4 Year",12450,14374,23715,26.22
"Milwaukee Institute of Art & Design","Private","WI","4 Year",9300,37360,37360,26.21
"University of Central Arkansas","Public","AR","4 Year",6854,8751,15274,26.21
"Southern California Institute of Architecture","Private","CA","4 Year",0,44960,44960,26.2
"Pacific Lutheran University","Private","WA","4 Year",10790,42066,42066,26.13
"Spring Hill College","Private","AL","4 Year",13462,39464,39464,26.09
"Jacksonville State University","Public","AL","4 Year",8100,10425,20145,26.08
"Grand Rapids Community College","Public","MI","2 Year",0,3879,11319,26.07
"Paradise Valley Community College","Public","AZ","2 Year",0,2580,9810,26.03
"Cape Fear Community College","Public","NC","2 Year",0,2590,8350,25.97
"Indiana Wesleyan University","Private","IN","4 Year",8312,25980,25980,25.94
"Widener University","Private","PA","4 Year",14446,45948,45948,25.94
"Neumann University","Private","PA","4 Year",13020,31400,31400,25.86
"Rowan University","Public","NJ","4 Year",12552,13697,22339,25.86
"Academy of Art University","For Profit","CA","4 Year",16648,27810,27810,25.84
"Conception Seminary College","Private","MO","4 Year",13321,21526,21526,25.81
"Mott Community College","Public","MI","2 Year",0,5030,8657,25.81
"Holy Cross College","Private","IN","4 Year",11500,30820,30820,25.77
"Rhode Island College","Public","RI","4 Year",11829,8929,21692,25.77
"Harford Community College","Public","MD","2 Year",0,4644,10075,25.71
"Sweet Briar College","Private","VA","4 Year",13000,21000,21000,25.71
"Randolph Community College","Public","NC","2 Year",0,2383,8143,25.69
"Columbia International University","Private","SC","4 Year",8150,23690,23690,25.66
"Syracuse University","Private","NY","4 Year",15550,51853,51853,25.63
"Southern Vermont College","Private","VT","4 Year",11000,25511,25511,25.6
"Lehigh Carbon Community College","Public","PA","2 Year",0,4080,10620,25.59
"John A. Gupton College","Private","TN","2 Year",0,10450,10450,25.58
"Oklahoma Wesleyan University","Private","OK","4 Year",8644,26956,26956,25.58
"University of Chicago","Private","IL","4 Year",16350,58230,58230,25.58
"Evergreen State College","Public","WA","4 Year",11346,7949,26459,25.55
"Virginia Baptist College","Private","VA","4 Year",0,5800,5800,25.53
"East Stroudsburg University of Pennsylvania","Public","PA","4 Year",9700,11084,23516,25.52
"Cedar Crest College","Private","PA","4 Year",11544,39216,39216,25.47
"Kalamazoo College","Private","MI","4 Year",9756,48516,48516,25.46
"Spalding University","Private","KY","4 Year",7600,24500,24500,25.44
"Illinois College","Private","IL","4 Year",9280,33090,33090,25.39
"Hardin-Simmons University","Private","TX","4 Year",8080,28990,28990,25.34
"University of Pittsburgh at Titusville","Public","PA","2 Year",10996,11788,21532,25.34
"Eastern Washington University","Public","WA","4 Year",12793,7323,24444,25.33
"Grinnell College","Private","IA","4 Year",12810,52392,52392,25.32
"Trinity Christian College","Private","IL","4 Year",9790,30650,30650,25.32
"Vanderbilt University","Private","TN","4 Year",16234,49816,49816,25.31
"Cowley County Community College","Public","KS","2 Year",5200,3000,4710,25.3
"Bates Technical College","Public","WA","2 Year",0,4783,10214,25.28
"Southern Methodist University","Private","TX","4 Year",16845,54493,54493,25.28
"Suffolk University","Private","MA","4 Year",17846,38566,38566,25.27
"Cornell College","Private","IA","4 Year",9384,42299,42299,25.23
"Schoolcraft College","Public","MI","2 Year",0,4226,8126,25.2
"Brunswick Community College","Public","NC","2 Year",0,2380,8140,25.19
"Franklin W. Olin College of Engineering","Private","MA","4 Year",16300,53736,53736,25.14
"Friends University","Private","KS","4 Year",7972,28415,28415,25.13
"Lake-Sumter State College","Public","FL","2 Year",0,3172,13276,25.12
"Tufts University","Private","MA","4 Year",14560,56382,56382,25.12
"Shenandoah University","Private","VA","4 Year",10370,32530,32530,25.1
"Olympic College","Public","WA","2 Year",5925,4252,4784,25.09
"Rochester College","Private","MI","4 Year",7376,24218,24218,25.07
"Colorado Christian University","Private","CO","4 Year",11846,31866,31866,25.06
"Skagit Valley College","Public","WA","2 Year",0,4800,4800,25.04
"School of the Art Institute of Chicago","Private","IL","4 Year",15890,49270,49270,25.03
"New College of Florida","Public","FL","4 Year",9264,6919,29944,24.94
"Stephens College","Private","MO","4 Year",10632,30950,30950,24.94
"Everett Community College","Public","WA","2 Year",8500,4417,4417,24.92
"Eastern Illinois University","Public","IL","4 Year",9882,11803,14023,24.91
"Boston University","Private","MA","4 Year",15720,53948,53948,24.87
"University of the Ozarks","Private","AR","4 Year",7400,24230,24230,24.87
"Western Nebraska Community College","Public","NE","2 Year",6766,2820,2928,24.84
"Gardner-Webb University","Private","NC","4 Year",10390,31220,31220,24.81
"Mississippi State University","Public","MS","4 Year",10090,8760,23360,24.75
"University of Virginia","Public","VA","4 Year",11590,17564,48465,24.75
"Central Wyoming College","Public","WY","2 Year",6681,3120,7632,24.74
"Pratt Community College","Public","KS","2 Year",5641,3428,3728,24.73
"Ave Maria University","Private","FL","4 Year",11436,20850,20850,24.7
"Trident University International","For Profit","CA","4 Year",0,11550,11550,24.66
"College of the Albemarle","Public","NC","2 Year",0,2407,8167,24.63
"Western Governors University","Private","UT","4 Year",0,6670,6670,24.62
"Millikin University","Private","IL","4 Year",11818,35102,35102,24.61
"Reinhardt University","Private","GA","4 Year",10200,23300,23300,24.61
"Colorado College","Private","CO","4 Year",12512,55470,55470,24.58
"Lake Washington Institute of Technology","Public","WA","2 Year",0,4879,5313,24.56
"Wells College","Private","NY","4 Year",14100,40700,40700,24.55
"Davenport University","Private","MI","4 Year",9928,22800,22800,24.54
"National University of Health Sciences","Private","IL","4 Year",0,12609,12609,24.54
"Grace University","Private","NE","4 Year",6912,23030,23030,24.52
"Central Virginia Community College","Public","VA","2 Year",0,4838,10766,24.5
"Ohio Dominican University","Private","OH","4 Year",10948,31080,31080,24.49
"University of Saint Joseph","Private","CT","4 Year",11428,39173,39173,24.48
"Central Penn College","For Profit","PA","4 Year",8094,18714,18714,24.44
"Northern Oklahoma College","Public","OK","2 Year",7080,4170,10755,24.44
"School of Visual Arts","For Profit","NY","4 Year",17500,39900,39900,24.43
"Presentation College","Private","SD","4 Year",9578,19995,19995,24.42
"American International College","Private","MA","4 Year",14300,35680,35680,24.41
"Lansing Community College","Public","MI","2 Year",0,3530,9830,24.4
"Denison University","Private","OH","4 Year",12710,51960,51960,24.32
"Stockton University","Public","NJ","4 Year",12282,13739,20866,24.27
"Independence Community College","Public","KS","2 Year",5168,2910,3300,24.23
"Indiana State University","Public","IN","4 Year",10590,9090,19836,24.21
"Northwest Florida State College","Public","FL","2 Year",0,3324,11634,24.18
"Savannah College of Art and Design","Private","GA","4 Year",14550,36630,36630,24.18
"Wichita State University","Public","KS","4 Year",11252,8271,17452,24.17
"Cottey College","Private","MO","4 Year",7700,21150,21150,24.16
"Lourdes University","Private","OH","4 Year",10100,22480,22480,24.16
"LeTourneau University","Private","TX","4 Year",9970,30210,30210,24.15
"Onondaga Community College","Public","NY","2 Year",10140,5484,10384,24.15
"Carlow University","Private","PA","4 Year",11442,29454,29454,24.13
"Mount Saint Mary College","Private","NY","4 Year",15108,31118,31118,24.12
"Isothermal Community College","Public","NC","2 Year",0,2334,8094,24.11
"Lake Michigan College","Public","MI","2 Year",7252,4500,6345,24.11
"McNeese State University","Public","LA","4 Year",8704,7859,18934,24.09
"Rensselaer Polytechnic Institute","Private","NY","4 Year",15260,53880,53880,24.07
"Western Dakota Technical Institute","Public","SD","2 Year",0,7335,7335,24.05
"Paier College of Art","For Profit","CT","4 Year",0,18040,18040,24.03
"Dean College","Private","MA","2 Year",16836,39734,39734,24.0
"Oklahoma City University","Private","OK","4 Year",8896,31026,31026,23.95
"University of Georgia","Public","GA","4 Year",10038,11830,30404,23.94
"Carleton College","Private","MN","4 Year",14085,54759,54759,23.87
"Albany College of Pharmacy and Health Sciences","Private","NY","4 Year",10920,35105,35105,23.8
"Colorado Mesa University","Public","CO","4 Year",10925,9243,22440,23.79
"Gulf Coast State College","Public","FL","2 Year",0,2963,10791,23.79
"Bellevue University","Private","NE","4 Year",8730,9390,9390,23.77
"Lorain County Community College","Public","OH","2 Year",0,3485,8081,23.77
"Tabor College","Private","KS","4 Year",9850,28245,28245,23.76
"Rockingham Community College","Public","NC","2 Year",0,2376,8136,23.73
"Bastyr University","Private","WA","4 Year",7590,26166,26166,23.71
"Walla Walla University","Private","WA","4 Year",4275,28035,28035,23.64
"McHenry County College","Public","IL","2 Year",0,3494,14603,23.57
"University of Connecticut","Public","CT","4 Year",12874,15730,38098,23.57
"Western Washington University","Public","WA","4 Year",11466,8132,23544,23.55
"Liberty University","Private","VA","4 Year",10478,25276,25276,23.52
"University of Northern Colorado","Public","CO","4 Year",11204,9786,21474,23.52
"Ancilla College","Private","IN","2 Year",9600,17330,17330,23.5
"Gaston College","Public","NC","2 Year",0,2386,8146,23.47
"Dyersburg State Community College","Public","TN","2 Year",0,4235,16523,23.46
"Davidson College","Private","NC","4 Year",14372,51447,51447,23.45
"Front Range Community College","Public","CO","2 Year",0,3986,15074,23.43
"University of Puget Sound","Private","WA","4 Year",12540,49776,49776,23.43
"Community College of Allegheny County","Public","PA","2 Year",0,4194,10920,23.42
"Boston College","Private","MA","4 Year",14478,55464,55464,23.38
"College of the Holy Cross","Private","MA","4 Year",14520,52770,52770,23.36
"Hiram College","Private","OH","4 Year",10290,34300,34300,23.35
"Owens Community College","Public","OH","2 Year",0,5860,10424,23.28
"Pennsylvania Academy of the Fine Arts","Private","PA","4 Year",0,38878,38878,23.26
"Lindenwood University","Private","MO","4 Year",9000,17600,17600,23.25
"Frank Phillips College","Public","TX","2 Year",5040,2838,3850,23.22
"Clark College","Public","WA","2 Year",0,4287,9718,23.21
"Middlebury College","Private","VT","4 Year",15530,54450,54450,23.21
"Madison Area Technical College","Public","WI","2 Year",0,4401,6414,23.19
"University of Richmond","Private","VA","4 Year",12250,52610,52610,23.19
"College of Southern Idaho","Public","ID","2 Year",5750,4200,8550,23.18
"Northwest Kansas Technical College","Public","KS","2 Year",4850,8300,8300,23.18
"Salem State University","Public","MA","4 Year",12722,10884,17024,23.15
"College of Idaho","Private","ID","4 Year",9697,30155,30155,23.08
"St. Catherine University","Private","MN","4 Year",9260,39669,39669,23.05
"Chesapeake College","Public","MD","2 Year",0,4760,9110,23.04
"Heartland Community College","Public","IL","2 Year",0,4590,13110,23.04
"Hood College","Private","MD","4 Year",12700,39492,39492,23.04
"Thomas Aquinas College","Private","CA","4 Year",8400,25000,25000,23.02
"Chattanooga State Community College","Public","TN","2 Year",0,4778,17684,23.01
