"name","type","state_code","degree_length","room_and_board","in_state_tuition","out_of_state_tuition","total_minority_percentage"
"Cypress College","Public","CA","2 Year",0,1414,9154,75.46
"Winston-Salem State University","Public","NC","4 Year",9550,5814,16061,75.4
"Culinary Institute LeNotre","For Profit","TX","2 Year",0,15828,15828,75.35
"Palo Alto College","Public","TX","2 Year",0,2660,13670,75.33
"Norco College","Public","CA","2 Year",0,1416,8436,74.88
"Arizona Western College","Public","AZ","2 Year",6700,2520,9510,74.59
"Merced College","Public","CA","2 Year",0,1436,9176,74.51
"San Diego City College","Public","CA","2 Year",0,1418,8048,73.97
"Passaic County Community College","Public","NJ","2 Year",0,5070,8850,73.58
"Shaw University","Private","NC","4 Year",8158,16480,16480,73.53
"College of the Sequoias","Public","CA","2 Year",0,1450,8560,73.02
"Cosumnes River College","Public","CA","2 Year",0,1416,9546,72.84
"Eastfield College","Public","TX","2 Year",0,1770,5220,72.84
"Prairie State College","Public","IL","2 Year",0,5220,13830,72.63
"Fullerton College","Public","CA","2 Year",0,1445,9185,72.62
"University of Hawaii at Hilo","Public","HI","4 Year",11406,7720,20680,72.6
"Nyack College","Private","NY","4 Year",9450,25350,25350,72.48
"Broward College","Public","FL","2 Year",0,3540,11190,72.43
"Ilisagvik College","Public","AK","2 Year",13000,4300,4300,72.43
"Clayton State University","Public","GA","4 Year",9994,6410,19486,72.02
"Manthano Christian College","Private","MI","4 Year",0,7050,7050,71.88
"Del Mar College","Public","TX","2 Year",0,3170,5780,71.68
"Williamsburg Technical College","Public","SC","2 Year",0,4368,8280,71.55
"San Antonio College","Public","TX","2 Year",0,2720,13730,71.48
"City College of San Francisco","Public","CA","2 Year",0,1414,8644,71.41
"Luna Community College","Public","NM","2 Year",0,962,2426,70.83
"College of Menominee Nation","Private","WI","2 Year",0,7600,7600,70.71
"Canada College","Public","CA","2 Year",0,1440,8670,70.65
"Northwest Vista College","Public","TX","2 Year",0,2720,13730,70.53
"Los Medanos College","Public","CA","2 Year",0,1390,9160,70.51
"Louisburg College","Private","NC","2 Year",10709,18581,18581,70.47
"Sul Ross State University","Public","TX","4 Year",8242,8309,20759,70.24
"Pennsylvania Institute of Technology","Private","PA","2 Year",6000,13365,13365,70.2
"Capital Community College","Public","CT","2 Year",0,4404,13172,70.11
"University of Antelope Valley","Private","CA","4 Year",6640,17738,17738,70.08
"Reedley College","Public","CA","2 Year",6668,1420,9160,70.01
"Southwestern Adventist University","Private","TX","4 Year",7600,21564,21564,70.0
"North Lake College","Public","TX","2 Year",0,1770,5220,69.48
"Bishop State Community College","Public","AL","2 Year",0,4740,8610,69.31
"De Anza College","Public","CA","2 Year",0,1515,8940,69.31
"Sacramento City College","Public","CA","2 Year",0,1416,9546,69.19
"Tennessee State University","Public","TN","4 Year",7806,8008,21364,69.16
"Baptist University of the Americas","Private","TX","4 Year",2500,7800,7800,68.97
"Southwest Tennessee Community College","Public","TN","2 Year",0,5554,20914,68.97
"Mt. Sierra College","For Profit","CA","4 Year",0,15688,15688,68.74
"Barstow Community College","Public","CA","2 Year",0,1391,9131,68.69
"New Mexico State University at Grants","Public","NM","2 Year",536,2064,4104,68.68
"St. Philip's College","Public","TX","2 Year",0,2720,13730,68.49
"Victor Valley College","Public","CA","2 Year",5418,1402,9142,68.31
"Ventura College","Public","CA","2 Year",0,1418,9218,67.98
"Holy Names University","Private","CA","4 Year",13190,39316,39316,67.84
"Stevens Institute of Business & Arts","For Profit","MO","2 Year",0,14910,14910,67.83
"Edgecombe Community College","Public","NC","2 Year",0,2757,8901,67.59
"University of the Incarnate Word","Private","TX","4 Year",12716,31484,31484,67.3
"Richland College","Public","TX","2 Year",0,1770,5220,67.2
"Berkeley City College","Public","CA","2 Year",0,1432,9622,67.13
"New Mexico Highlands University","Public","NM","4 Year",7872,6150,10302,67.03
"Long Island Business Institute","For Profit","NY","2 Year",0,9846,9846,67.0
"Art Institute of Houston","For Profit","TX","4 Year",9600,24024,24024,66.93
"Los Angeles Pierce College","Public","CA","2 Year",0,1404,8934,66.72
"Gavilan College","Public","CA","2 Year",0,1418,8408,66.61
"Golden West College","Public","CA","2 Year",0,1452,9552,66.44
"Coastline Community College","Public","CA","2 Year",0,1400,9530,66.38
"La Sierra University","Private","CA","4 Year",8415,32778,32778,66.25
"Brookhaven College","Public","TX","2 Year",0,1770,5220,66.21
"Taft College","Public","CA","2 Year",4942,1380,9120,66.05
"Coastal Bend College","Public","TX","2 Year",5100,2646,4956,66.03
"Los Angeles Valley College","Public","CA","2 Year",0,1404,8934,65.85
"Solano Community College","Public","CA","2 Year",0,1406,9296,65.82
"Napa Valley College","Public","CA","2 Year",0,1414,9154,65.67
